$GROWTH ASPECTS SECONDARY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 24, 2025 14:14:59

*RUN   1        : 1                         CSCER048 TUDU1501    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         CSCER048
  
@YEAR DOY   DAS   DAP TMEAN  GSTD  RSTD LAIPD LAISD  LAID  CHTD SDWAD SNWLD SNWSD  H#AD  HWUD SHRTD  PTFD  RDPD  RL1D  RL2D  RL3D  RL4D  RL5D  RL6D  RL7D  RL8D  RL9D RL10D
   15 169    92    92  13.2 47.58  3.76 3.654  0.56 3.097 67.56  21.3 60.77 17.25     0     0  7.06  0.88 1.120  4.50  1.68  1.04  0.62  0.51  0.27  0.09  0.00  0.00  0.00
   15 170    93    93  13.2 48.13  3.81 3.654  0.58 3.078 68.94  21.3 60.77 17.78     0     0  7.13  0.88 1.131  4.51  1.70  1.05  0.63  0.52  0.27  0.09  0.00  0.00  0.00
   15 171    94    94  12.2 48.64  3.86 3.654  0.59 3.061 70.32  21.3 60.77 18.28     0     0  7.20  0.89 1.141  4.52  1.72  1.07  0.63  0.53  0.28  0.10  0.00  0.00  0.00
   15 172    95    95  13.6 49.20  3.92 3.654  0.61 3.042 71.60  21.3 60.77 18.84     0     0  7.30  0.89 1.152  4.54  1.75  1.09  0.64  0.53  0.28  0.10  0.00  0.00  0.00
   15 173    96    96  16.2 49.88  3.99 3.654  0.63 3.020 73.01  21.3 60.77 19.52     0     0  7.41  0.89 1.165  4.55  1.78  1.12  0.65  0.54  0.29  0.11  0.00  0.00  0.00
   15 174    97    97  13.1 51.70  4.04 3.654  0.65 3.001 74.69  21.3 60.77 20.08     0     0  7.51  0.90 1.176  4.56  1.80  1.14  0.66  0.55  0.29  0.11  0.00  0.00  0.00
   15 175    98    98  13.9 54.02  4.10 3.654  0.67 2.984 76.06  21.3 60.77 20.67     0     0  7.65  0.91 1.187  4.57  1.83  1.16  0.67  0.56  0.30  0.12  0.00  0.00  0.00
   15 176    99    99  13.8 56.33  4.16 3.654  0.69 2.967 77.51  21.3 60.77 21.28     0     0  7.81  0.92 1.199  4.59  1.85  1.19  0.68  0.56  0.30  0.12  0.00  0.00  0.00
   15 177   100   100  16.5 59.08  4.23 3.654  0.71 2.946 78.95  21.3 60.77 22.00     0     0  8.00  0.93 1.212  4.60  1.87  1.21  0.69  0.57  0.31  0.13  0.00  0.00  0.00
   15 178   101   101  18.4 65.34  4.30 3.654  0.73 2.923 80.67  21.3 60.77 22.82     0     0  8.15  0.94 1.227  4.60  1.89  1.22  0.69  0.57  0.31  0.13  0.00  0.00  0.00
   15 179   102   102  17.9 70.43  4.38 3.654  0.75 2.901 82.58  21.3 60.77 23.63     0     0  8.33  0.95 1.242  4.61  1.90  1.23  0.69  0.58  0.32  0.14  0.00  0.00  0.00
   15 180   103   103  18.9 71.64  4.46 3.654  0.78 2.877 84.44  21.3 60.77 24.48 16390 .0000  8.55  0.97 1.258  4.61  1.91  1.24  0.70  0.58  0.32  0.14  0.00  0.00  0.00
   15 181   104   104  20.6 72.96  4.54 3.654  0.80 2.851 86.41  21.3 60.77 25.42 16390 .0002  8.83  0.98 1.275  4.61  1.91  1.24  0.70  0.58  0.32  0.14  0.00  0.00  0.00
   15 182   105   105  21.0 74.31  4.63 3.654  0.83 2.825 88.55  21.3 60.77 26.38 16390 .0005  9.08  0.98 1.292  4.61  1.91  1.25  0.70  0.58  0.32  0.14  0.00  0.00  0.00
   15 183   106   106  22.2 75.73  4.72 3.654  0.86 2.797 90.75  21.3 60.77 27.39 16390 .0010  9.34  0.98 1.310  4.63  1.92  1.25  0.70  0.58  0.32  0.14  0.00  0.00  0.00
   15 184   107   107  23.0 77.21  4.82 3.654  0.89 2.768 93.06  21.3 60.77 28.45 16390 .0017  9.61  0.98 1.329  4.65  1.92  1.25  0.70  0.58  0.32  0.14  0.00  0.00  0.00
   15 185   108   108  24.6 78.78  4.92 3.654  0.92 2.738 95.46  21.3 60.77 29.58 16390 .0025  9.88  0.98 1.349  4.67  1.92  1.25  0.70  0.59  0.32  0.14  0.00  0.00  0.00
   15 186   109   109  25.5 80.09  5.01 3.654  0.95 2.706 98.02  21.3 60.77 30.75 16390 .0037 10.12  0.98 1.370  4.68  1.92  1.26  0.70  0.59  0.32  0.14  0.00  0.00  0.00
   15 187   110   110  23.2 80.42  5.04 3.654  0.96 2.697 100.0  21.3 60.77 31.82 16390 .0049 10.31  0.98 1.389  4.70  1.92  1.26  0.70  0.59  0.32  0.15  0.00  0.00  0.00
   15 188   111   111  25.1 80.78  5.08 3.654  1.02 2.633 100.0  21.3 60.77 32.98 16390 .0061 10.44  0.98 1.410  4.70  1.92  1.26  0.70  0.59  0.32  0.15  0.00  0.00  0.00
   15 189   112   112  17.4 81.03  5.10 3.654  1.03 2.626 100.0  21.3 60.77 33.78 16390 .0070 10.58  0.98 1.424  4.71  1.92  1.26  0.70  0.59  0.32  0.15  0.00  0.00  0.00
